,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
99,57,21/06/2015,Bangladesh,Shere Bangla National Stadium,4,657,16.85,1/32,137,31.61,,29,,,,28 years 277 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
100,,24/06/2015,Bangladesh,Shere Bangla National Stadium,-,657,16.85,2/35,139,31.40,1,30,,,,28 years 280 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
101,,11/10/2015,South Africa,Green Park,-,657,16.85,1/14,140,31.28,,30,,,,29 years 24 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
102,,12/01/2016,Australia,WACA Ground,-,657,16.85,2/68,142,31.32,,30,,,,29 years 117 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
103,58,15/01/2016,Australia,Brisbane Cricket Ground,1,658,16.45,0/60,142,31.74,,30,,,,29 years 120 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
104,59,15/01/2017,England,Maharashtra Cricket Association Stadium,15*,673,16.83,0/63,142,32.18,,30,,,,30 years 120 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
105,,19/01/2017,England,Barabati Stadium,-,673,16.83,3/65,145,31.97,,30,,,,30 years 124 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
106,60,22/01/2017,England,Eden Gardens,1,674,16.44,0/60,145,32.38,,30,,,,30 years 127 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
107,,11/06/2017,South Africa,Kennington Oval,-,674,16.44,1/43,146,32.45,,30,,,,30 years 267 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
108,,15/06/2017,Bangladesh,Edgbaston,-,674,16.44,0/54,146,32.82,,30,,,,30 years 271 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
109,61,18/06/2017,Pakistan,Kennington Oval,1,675,16.07,0/70,146,33.30,,30,,,,30 years 274 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
110,,23/06/2017,West Indies,Queen's Park Oval,-,675,16.07,,146,33.30,,30,,,,30 years 279 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
111,,25/06/2017,West Indies,Queen's Park Oval,-,675,16.07,1/47,147,33.39,,30,,,,30 years 281 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
112,,30/06/2017,West Indies,Sir Vivian Richards Stadium,-,675,16.07,3/28,150,32.91,,30,,,,30 years 286 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
113,62,19/01/2022,South Africa,Boland Park,7,682,15.86,1/53,151,33.05,,30,,,,35 years 124 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
114,63,21/01/2022,South Africa,Boland Park,25*,707,16.44,0/68,151,33.50,,30,,,,35 years 126 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Avesh Khan
            - One Day Internationals - Progressive Averages and Aggregates Summary"
